Sale_ID,Date,Event_Type,Event_Name,Promotional_Type,Promotional_Budget,Sales_Revenue,ROI,City
SALE_00001,1/8/2021,Islamic Event,Eid Ul Adha,Social Media Campaigns,371581,14469414.16,37.94,Lahore
SALE_00002,1/15/2021,Islamic Event,Eid Ul Adha,Charity Promotions,249464,810458.56,2.25,Islamabad
SALE_00003,1/22/2021,Islamic Event,Eid Ul Adha,Celebrity Endorsements,735053,2016751.77,1.74,Faisalabad
SALE_00004,1/29/2021,Islamic Event,Kashmir Day,Discount offers,685627,1137531.68,0.66,Peshawar
SALE_00005,2/5/2021,Islamic Event,Kashmir Day,TV and Radio Campaigns,388376,889536.81,1.29,Sukkur
SALE_00006,2/12/2021,Islamic Event,Kashmir Day,Retail Partnerships,856796,2926668.42,2.42,Multan
SALE_00007,2/19/2021,National Event,Ramadan,Advertisements,708552,2798230.68,2.95,Hyderabad
SALE_00008,2/26/2021,National Event,Ramadan,Discount offers,648093,1403878.53,1.17,Larkana
SALE_00009,3/5/2021,National Event,Ramadan,Charity Promotions,271615,516522.44,0.90,Nawabshah
SALE_00010,3/12/2021,National Event,Ramadan,Collaborations with National Events,113604,321841.89,1.83,Bahawalpur
SALE_00011,3/19/2021,National Event,Ramadan,Social Media Campaigns,368317,1038101.07,1.82,Rahim Yar Khan
SALE_00012,3/26/2021,Islamic Event,Muharram,Charity Promotions,222759,668271.87,2.00,Karachi
SALE_00013,4/2/2021,Islamic Event,Muharram,Social Media Campaigns,164236,291484.13,0.77,Lahore
SALE_00014,4/9/2021,Islamic Event,Muharram,Branding with Religious themes,924972,3070874.74,2.32,Islamabad
SALE_00015,4/16/2021,National Event,Eid Ul Fitr,Social Media Campaigns,559803,1874539.92,2.35,Faisalabad
SALE_00016,4/23/2021,National Event,Eid Ul Fitr,Promotions For Kashmir Relief,747561,1452342.48,0.94,Peshawar
SALE_00017,4/30/2021,National Event,Eid Ul Fitr,Special Packaging,116803,299740.44,1.57,Sukkur
SALE_00018,5/7/2021,National Event,Eid Ul Fitr,Collaborations with NGOs,157749,339995.36,1.16,Multan
SALE_00019,5/14/2021,International Event,Labour Day,Discount offers,385575,588402.39,0.53,Hyderabad
SALE_00020,5/21/2021,International Event,Labour Day,Social Media Campaigns,663199,2457993.47,2.71,Larkana
SALE_00021,5/28/2021,International Event,Labour Day,Sponsorship of Local Events,863164,2683533.78,2.11,Nawabshah
SALE_00022,6/4/2021,National Event,National Food Day,Recipe Contests,710683,2443613.43,2.44,Bahawalpur
SALE_00023,6/11/2021,National Event,National Food Day,Discount offers,403371,1318471.70,2.27,Rahim Yar Khan
SALE_00024,6/18/2021,National Event,National Food Day,Celebrity Endorsements,451175,1329927.82,1.95,Karachi
SALE_00025,6/25/2021,Cultural Event,Wedding Season,Wedding Packages,391751,1305332.75,2.33,Lahore
SALE_00026,7/2/2021,Cultural Event,Wedding Season,In-Store Displays,864562,3021893.68,2.50,Islamabad
SALE_00027,7/9/2021,Cultural Event,Wedding Season,Celebrity Endorsements,524229,1167858.18,1.23,Faisalabad
SALE_00028,7/16/2021,Cultural Event,Wedding Season,Social Media Campaigns,901120,2215145.74,1.46,Peshawar
SALE_00029,7/23/2021,International Event,National Health Day,Educational Campaigns,623716,1748940.53,1.80,Sukkur
SALE_00030,7/30/2021,International Event,National Health Day,Social Media Campaigns,293654,670680.69,1.28,Multan
SALE_00031,8/6/2021,International Event,National Health Day,Discount offers,962986,2722353.87,1.83,Hyderabad
SALE_00032,8/13/2021,International Event,National Health Day,Partnership with Nutritionists,811031,1629559.23,1.01,Larkana
SALE_00033,8/20/2021,Islamic Event,Independence Day,Discount offers,646001,2122027.14,2.28,Nawabshah
SALE_00034,8/27/2021,Islamic Event,Independence Day,TV and Radio Campaigns,743214,1354168.42,0.82,Bahawalpur
SALE_00035,9/3/2021,Islamic Event,Independence Day,Retail Partnerships,368671,1096325.80,1.97,Rahim Yar Khan
SALE_00036,9/10/2021,Islamic Event,Eid Ul Adha,Discount offers,357677,1210054.68,2.38,Karachi
SALE_00037,9/17/2021,Islamic Event,Eid Ul Adha,Social Media Campaigns,728839,1209037.30,0.66,Lahore
SALE_00038,9/24/2021,Islamic Event,Eid Ul Adha,Charity Promotions,757567,2435543.41,2.21,Islamabad
SALE_00039,10/1/2021,Islamic Event,Eid Ul Adha,Celebrity Endorsements,451195,1399175.99,2.10,Faisalabad
SALE_00040,10/8/2021,Islamic Event,Kashmir Day,Discount offers,175107,607123.34,2.47,Peshawar
SALE_00041,10/15/2021,Islamic Event,Kashmir Day,TV and Radio Campaigns,924237,3679104.23,2.98,Sukkur
SALE_00042,10/22/2021,Islamic Event,Kashmir Day,Retail Partnerships,390790,1425488.51,2.65,Multan
SALE_00043,10/29/2021,National Event,Ramadan,Advertisements,132660,325264.17,1.45,Hyderabad
SALE_00044,11/5/2021,National Event,Ramadan,Discount offers,215219,745916.45,2.47,Larkana
SALE_00045,11/12/2021,National Event,Ramadan,Charity Promotions,705279,1434231.27,1.03,Nawabshah
SALE_00046,11/19/2021,National Event,Ramadan,Collaborations with National Events,362296,795678.20,1.20,Bahawalpur
SALE_00047,11/26/2021,National Event,Ramadan,Social Media Campaigns,337984,831902.03,1.46,Rahim Yar Khan
SALE_00048,12/3/2021,Islamic Event,Muharram,Charity Promotions,237582,4913179.94,19.68,Karachi
